JD,Magnitude,Uncertainty,HQuncertainty,Band
2457023.54375,0.5,,,Vis.
2457024.3,0.3,,,Vis.
2457024.33819,0.65,,,Vis.
2457024.40139,0.6,,,Vis.
2457024.83611,0.6,,,Vis.
2457025.45208,0.65,,,Vis.
2457025.67986,0.3,,,Vis.
2457026.42431,0.65,,,Vis.
2457027.3,0.9,,,Vis.
2457027.32917,0.62,,,Vis.
2457027.340,0.50,,,Vis.
2457027.44444,0.7,,,Vis.
2457028.26250,0.65,,,Vis.
2457028.53125,0.3,,,Vis.
2457028.69792,0.7,,,Vis.
2457029.33681,0.66,,,Vis.
2457029.43,0.65,,,Vis.
2457029.52292,0.65,,,Vis.
2457029.74653,0.8,,,Vis.
2457029.87778,0.6,,,Vis.
2457030.58750,0.3,,,Vis.
2457031.343,0.89,,,Vis.
2457032.22926,0.64,,,Vis.
2457032.60764,0.6,,,Vis.
2457032.68681,0.5,,,Vis.
2457033.24722,0.6,,,Vis.
2457033.47,0.7,,,Vis.
2457033.6,0.9,,,Vis.
2457034.03403,0.7,,,Vis.
2457034.2,0.3,,,Vis.
2457034.3,0.7,,,Vis.
2457034.50972,0.55,,,Vis.
2457035.34097,0.6,,,Vis.
2457035.63681,0.5,,,Vis.
2457036.22917,0.6,,,Vis.
2457036.24,0.3,,,Vis.
2457036.24,0.3,,,Vis.
2457036.29722,0.6,,,Vis.
2457036.372,0.79,,,Vis.
2457036.39,0.5,,,Vis.
2457036.4,0.7,,,Vis.
2457036.4097,0.73,,,Vis.
2457036.49722,0.70,,,Vis.
2457036.56319,0.6,,,Vis.
2457036.65208,0.2,,,Vis.
2457037.3,0.3,,,Vis.
2457037.44236,0.56,,,Vis.
2457037.77083,0.5,,,Vis.
2457038.23194,0.6,,,Vis.
2457038.4111,0.6,,,Vis.
2457038.642,0.5,,,Vis.
2457038.7,0.4,,,Vis.
2457038.7,0.7,,,Vis.
2457038.74306,0.5,,,Vis.
2457038.76736,0.6,,,Vis.
2457039.25,0.3,,,Vis.
2457039.25,0.4,,,Vis.
2457039.361,0.4,,,Vis.
2457039.3958,0.6,,,Vis.
2457039.67569,0.6,,,Vis.
2457039.75208,0.5,,,Vis.
2457040.27083,0.4,,,Vis.
2457040.3,0.7,,,Vis.
2457040.3,0.75,,,Vis.
2457040.49792,0.70,,,Vis.
2457041.3,0.3,,,Vis.
2457041.63611,0.4,,,Vis.
2457041.72222,0.6,,,Vis.
2457041.74653,0.6,,,Vis.
2457042.6,0.8,,,Vis.
2457043.27222,0.62,,,Vis.
2457043.30,0.6,,,Vis.
2457043.47153,0.60,,,Vis.
2457044.26806,0.62,,,Vis.
2457044.4,0.6,,,Vis.
2457044.43819,0.65,,,Vis.
2457045.3,0.6,,,Vis.
2457045.7257,0.9,,,Vis.
2457046.22917,0.65,,,Vis.
2457046.3,0.7,,,Vis.
2457046.4819,0.6,,,Vis.
2457046.53125,1.6,,,Vis.
2457046.55556,0.6,,,Vis.
2457046.7,0.4,,,Vis.
2457047.2,0.3,,,Vis.
2457047.30000,0.62,,,Vis.
2457047.51181,0.5,,,Vis.
2457047.72222,0.6,,,Vis.
2457048.03819,0.7,,,Vis.
2457048.28472,0.2,,,Vis.
2457048.35417,1.8,,,Vis.
2457048.4,0.3,,,Vis.
2457048.43819,0.60,,,Vis.
2457048.55347,0.7,,,Vis.
2457048.55625,0.3,,,Vis.
2457048.56806,0.6,,,Vis.
2457048.58681,0.6,,,Vis.
2457048.61458,0.5,,,Vis.
2457048.653,0.5,,,Vis.
2457049.2812,0.6,,,Vis.
2457049.2861,0.7,,,Vis.
2457049.3,0.65,,,Vis.
2457049.37083,<0.8,,,Vis.
2457049.37083,0.6,,,Vis.
2457049.40972,0.58,,,Vis.
2457050.25000,0.60,,,Vis.
2457050.35000,0.3,,,Vis.
2457050.59028,0.6,,,Vis.
2457051.27778,0.62,,,Vis.
2457051.29,0.6,,,Vis.
2457051.6,0.8,,,Vis.
2457051.61458,0.6,,,Vis.
2457052.5,1.2,,,Vis.
2457053.23056,0.65,,,Vis.
2457053.3,0.3,,,Vis.
2457053.402,0.9,,,Vis.
2457053.55556,0.35,,,Vis.
2457054.33333,0.53,,,Vis.
2457055.27083,0.57,,,Vis.
2457055.42361,0.8,,,Vis.
2457055.45417,0.55,,,Vis.
2457056.41875,0.56,,,Vis.
2457057.43958,0.60,,,Vis.
2457058.236,0.6,,,Vis.
2457058.236,0.5,,,Vis.
2457058.236,0.5,,,Vis.
2457058.31,0.6,,,Vis.
2457058.343,0.6,,,Vis.
2457059.55278,0.6,,,Vis.
2457060.24653,0.54,,,Vis.
2457060.299,0.3,,,Vis.
2457060.4551,0.8,,,Vis.
2457060.53194,0.5,,,Vis.
2457060.60556,0.3,,,Vis.
2457060.65278,0.5,,,Vis.
2457061.29097,0.46,,,Vis.
2457061.3,0.3,,,Vis.
2457061.5465,0.0,,,Vis.
2457061.6,0.6,,,Vis.
2457061.60868,0.5,,,Vis.
2457061.6375,0.4,,,Vis.
2457062.29,0.5,,,Vis.
2457062.31771,0.42,,,Vis.
2457062.3368,0.71,,,Vis.
2457062.384,0.67,,,Vis.
2457062.59375,0.5,,,Vis.
2457063.05694,0.6,,,Vis.
2457063.22500,0.44,,,Vis.
2457063.36806,0.7,,,Vis.
2457063.4,0.6,,,Vis.
2457063.403,0.4,,,Vis.
2457063.44444,0.8,,,Vis.
2457063.54306,0.6,,,Vis.
2457063.7,0.4,,,Vis.
2457064.32639,0.51,,,Vis.
2457064.35764,0.69,,,Vis.
2457064.5,0.8,,,Vis.
2457064.5611,0.9,,,Vis.
2457064.57153,0.6,,,Vis.
2457064.60417,0.60,,,Vis.
2457064.62431,0.62,,,Vis.
2457065.23125,0.44,,,Vis.
2457065.2361,0.9,,,Vis.
2457065.3,0.3,,,Vis.
2457065.348,0.72,,,Vis.
2457065.55833,0.6,,,Vis.
2457065.7,0.7,,,Vis.
2457066.187,0.3,,,Vis.
2457066.2838,0.4,,,Vis.
2457066.2889,0.6,,,Vis.
2457066.35,0.3,,,Vis.
2457066.368,0.82,,,Vis.
2457066.40694,0.2,,,Vis.
2457066.56667,0.6,,,Vis.
2457066.57986,0.5,,,Vis.
2457067.2,0.5,,,Vis.
2457067.3,0.75,,,Vis.
2457067.34028,0.8,,,Vis.
2457067.34653,0.45,,,Vis.
2457067.56250,0.4,,,Vis.
2457068.23333,0.8,,,Vis.
2457068.24,0.2,,,Vis.
2457068.30694,0.45,,,Vis.
2457068.31,0.4,,,Vis.
2457068.34583,0.4,,,Vis.
2457068.3855,0.6,,,Vis.
2457068.3975,0.8,,,Vis.
2457068.61597,0.4,,,Vis.
2457068.61944,0.5,,,Vis.
2457068.70486,0.4,,,Vis.
2457069.26042,0.5,,,Vis.
2457069.27569,0.46,,,Vis.
2457069.3438,0.73,,,Vis.
2457069.38889,-0.1,,,Vis.
2457069.3958,0.6,,,Vis.
2457070.25,0.4,,,Vis.
2457070.298,0.8,,,Vis.
2457070.4,0.8,,,Vis.
2457070.42,0.5,,,Vis.
2457070.4521,0.6,,,Vis.
2457071.187,0.3,,,Vis.
2457071.26389,0.46,,,Vis.
2457071.3,0.6,,,Vis.
2457071.3125,0.7,,,Vis.
2457071.4652,0.6,,,Vis.
2457072.26389,0.50,,,Vis.
2457072.3,0.3,,,Vis.
2457072.328,0.93,,,Vis.
2457072.34931,0.7,,,Vis.
2457072.55556,0.4,,,Vis.
2457072.64583,0.7,,,Vis.
2457073.23958,0.38,,,Vis.
2457073.3,0.7,,,Vis.
2457073.5,0.9,,,Vis.
2457073.56944,0.4,,,Vis.
2457073.591,0.5,,,Vis.
2457073.69306,0.5,,,Vis.
2457074.25000,0.40,,,Vis.
2457074.3,0.8,,,Vis.
2457074.31,0.4,,,Vis.
2457074.32222,0.40,,,Vis.
2457074.34375,0.7,,,Vis.
2457074.42431,0.45,,,Vis.
2457074.57361,0.65,,,Vis.
2457075.28,0.3,,,Vis.
2457075.295,0.4,,,Vis.
2457075.59375,0.4,,,Vis.
2457076.3,0.75,,,Vis.
2457076.4,0.4,,,Vis.
2457076.4,0.7,,,Vis.
2457076.60486,0.4,,,Vis.
2457076.62917,0.6,,,Vis.
2457076.67153,0.65,,,Vis.
2457077.23542,0.47,,,Vis.
2457077.41667,-0.3,,,Vis.
2457077.53750,0.6,,,Vis.
2457077.7,0.4,,,Vis.
2457078.4,0.7,,,Vis.
2457078.56528,0.5,,,Vis.
2457079.3,0.6,,,Vis.
2457080.2,0.8,,,Vis.
2457080.39583,0.48,,,Vis.
2457080.60764,0.6,,,Vis.
2457080.64583,0.6,,,Vis.
2457081.2,0.8,,,Vis.
2457081.22778,0.46,,,Vis.
2457081.45833,0.6,,,Vis.
2457081.46389,0.60,,,Vis.
2457081.56181,0.5,,,Vis.
2457082.3,0.75,,,Vis.
2457082.4,0.4,,,Vis.
2457082.42292,0.39,,,Vis.
2457082.47917,0.55,,,Vis.
2457082.5,1.5,,,Vis.
2457083.3,0.7,,,Vis.
2457083.3,0.4,,,Vis.
2457083.67569,0.5,,,Vis.
2457084.33,0.5,,,Vis.
2457084.358,0.85,,,Vis.
2457084.393,0.5,,,Vis.
2457084.58333,0.63,,,Vis.
2457085.28333,0.40,,,Vis.
2457085.39931,-0.4,,,Vis.
2457086.362,0.75,,,Vis.
2457086.54236,0.5,,,Vis.
2457087.2951,0.65,,,Vis.
2457087.3,0.75,,,Vis.
2457087.3243,0.9,,,Vis.
2457087.4,0.7,,,Vis.
2457087.5,0.6,,,Vis.
2457087.59375,0.7,,,Vis.
2457088.25,0.4,,,Vis.
2457088.26528,0.35,,,Vis.
2457088.3,0.4,,,Vis.
2457088.48333,0.60,,,Vis.
2457088.55764,0.4,,,Vis.
2457088.7,0.4,,,Vis.
2457089.2764,0.8,,,Vis.
2457089.33,0.5,,,Vis.
2457089.383,0.6,,,Vis.
2457089.47639,0.55,,,Vis.
2457089.5785,0.3,,,Vis.
2457089.58264,0.6,,,Vis.
2457090.27847,0.31,,,Vis.
2457090.54861,0.5,,,Vis.
2457090.56806,0.5,,,Vis.
2457090.91609,0.7,,,Vis.
2457091.25694,0.31,,,Vis.
2457091.27,0.4,,,Vis.
2457091.2965,0.6,,,Vis.
2457091.2993,0.8,,,Vis.
2457091.38889,1.2,,,Vis.
2457092.27361,0.25,,,Vis.
2457092.3,0.6,,,Vis.
2457092.3,0.6,,,Vis.
2457092.306,0.5,,,Vis.
2457092.47708,0.60,,,Vis.
2457092.57639,0.5,,,Vis.
2457093.28542,0.40,,,Vis.
2457093.29861,0.6,,,Vis.
2457093.3,0.6,,,Vis.
2457093.3,0.45,,,Vis.
2457093.34028,0.3,,,Vis.
2457093.39931,1.4,,,Vis.
2457093.48681,0.55,,,Vis.
2457093.55000,0.5,,,Vis.
2457093.6,0.8,,,Vis.
2457093.62014,0.5,,,Vis.
2457093.65903,0.4,,,Vis.
2457093.67986,0.6,,,Vis.
2457094.42014,0.9,,,Vis.
2457095.47986,0.60,,,Vis.
2457096.27083,0.40,,,Vis.
2457096.313,0.5,,,Vis.
2457096.32361,0.3,,,Vis.
2457096.68194,0.6,,,Vis.
2457097.00833,0.6,,,Vis.
2457097.3285,0.6,,,Vis.
2457097.5,0.8,,,Vis.
2457097.68750,0.7,,,Vis.
2457097.93264,1.0,,,Vis.
2457098.15972,0.1,,,Vis.
2457098.34,0.5,,,Vis.
2457098.628,0.6,,,Vis.
2457099.2695,0.8,,,Vis.
2457099.3,0.6,,,Vis.
2457099.35,0.4,,,Vis.
2457099.40417,0.4,,,Vis.
2457100.3,0.7,,,Vis.
2457100.4,0.7,,,Vis.
2457101.27361,0.38,,,Vis.
2457101.3,0.7,,,Vis.
2457101.49097,0.65,,,Vis.
2457102.53125,0.4,,,Vis.
2457103.27,0.4,,,Vis.
2457103.45833,1.0,,,Vis.
2457103.585,0.2,,,Vis.
2457104.4,0.4,,,Vis.
2457104.59236,0.4,,,Vis.
2457104.63542,0.7,,,Vis.
2457104.7,0.5,,,Vis.
2457105.313,0.6,,,Vis.
2457105.3194,0.8,,,Vis.
2457105.3368,0.5,,,Vis.
2457105.346,0.93,,,Vis.
2457105.50208,0.60,,,Vis.
2457106.5,0.8,,,Vis.
2457107.41667,0.7,,,Vis.
2457107.48056,0.60,,,Vis.
2457108.41667,0.7,,,Vis.
2457108.544,0.3,,,Vis.
2457109.4,0.4,,,Vis.
2457109.41667,0.7,,,Vis.
2457109.57708,0.6,,,Vis.
2457109.60347,0.5,,,Vis.
2457109.63958,0.4,,,Vis.
2457110.27361,0.3,,,Vis.
2457110.41667,0.6,,,Vis.
2457110.61806,0.5,,,Vis.
2457111.49722,0.55,,,Vis.
2457111.56319,0.5,,,Vis.
2457111.60417,0.7,,,Vis.
2457112.27361,0.35,,,Vis.
2457112.63611,0.7,,,Vis.
2457113.3,0.4,,,Vis.
