JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457023.54375,0.5,,,Vis.,MCPA,U,01,09,10 star,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457023.8680,-3.084,0.050,,J,KCD,,GAMMA ORI,,13650PT,,1,,Z,,,,ALF ORI,BAA-VSS,STD,1,,,
2457023.8680,-4.076,0.050,,H,KCD,,GAMMA ORI,,13650PT,,1,,Z,,,,ALF ORI,BAA-VSS,STD,1,,,
2457024.3,0.3,,,Vis.,SPAO,,03,17,680301,,,,Z,,,,ALF ORI,UAI,STD,,,,
2457024.33819,0.65,,,Vis.,SGQ,B,alpha CMi mv=0.37,alpha Tau mv=0.86,Tirion 2000.0,"""Padova, Ponte del Bassanello. Naked eye with airmass correction. """,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457024.40139,0.6,,,Vis.,BANH,,0.4,0.9,10 STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457024.83611,0.6,,,Vis.,BBA,UB,0.4,0.9,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457025.45208,0.65,,,Vis.,SGQ,B,alpha CMi mv=0.37,alpha Tau mv=0.86,Tirion 2000.0,"""Padova, Guizza. Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457025.67986,0.3,,,Vis.,JDAC,B,0.1,0.4,10-Star Tutoral,10Star Tutorial,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457026.42431,0.65,,,Vis.,SGQ,B,alf CMi mv=0.37,alf Tau mv=0.86,Tirion 2000.0,"""Padova, Guizza. Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457027.3,0.9,,,Vis.,BNW,B,05,11,1968,,,,Z,,,,ALF ORI,BAV,STD,,,,
